max_strategy, risky_strategy, uniform_strategy, safe_strategy, min_strategy
402, 2324, 645, 202, 1000
509, 1950, 1035, 958, 1000
28, 1664, 933, 1060, 1000
220, 127, 1314, 1155, 1000
1195, 629, 529, 1498, 1000
1835, 443, 1255, 1550, 1000
1491, 1568, 1524, 1034, 1000
1017, 1405, 1600, 633, 1000
1709, 563, 587, 459, 1000
55, 669, 478, 783, 1000
519, 1453, 358, 1515, 1000
3321, 1022, 690, 1209, 1000
148, 76, 1148, 732, 1000
247, 1611, 672, 1149, 1000
468, 2520, 2098, 616, 1000
1047, 964, 269, 1071, 1000
2382, 1071, 403, 1223, 1000
1473, 343, 484, 664, 1000
308, 1138, 861, 305, 1000
5, 794, 653, 365, 1000
48, 1692, 607, 680, 1000
1980, 2337, 1675, 531, 1000
1359, 1329, 756, 1331, 1000
196, 1165, 1478, 814, 1000
387, 1142, 1460, 1691, 1000
476, 1540, 856, 501, 1000
220, 1019, 282, 962, 1000
41, 449, 1354, 676, 1000
561, 1618, 1059, 1228, 1000
132, 478, 767, 971, 1000
473, 655, 786, 1207, 1000
2188, 1976, 765, 451, 1000
1987, 2079, 1258, 565, 1000
3, 2229, 1357, 1156, 1000
1107, 85, 1032, 1435, 1000
1099, 703, 1616, 1800, 1000
1930, 1648, 912, 309, 1000
1005, 483, 643, 1074, 1000
263, 641, 1115, 1005, 1000
2160, 893, 377, 1016, 1000
13, 1863, 633, 672, 1000
113, 334, 346, 508, 1000
547, 575, 1268, 986, 1000
552, 1474, 1695, 886, 1000
1125, 336, 1063, 825, 1000
556, 260, 1112, 629, 1000
76, 378, 129, 724, 1000
821, 440, 1099, 1347, 1000
724, 1129, 380, 514, 1000
1680, 343, 506, 322, 1000
1319, 819, 316, 1612, 1000
467, 690, 2176, 751, 1000
304, 1104, 1754, 705, 1000
616, 198, 774, 737, 1000
80, 842, 1164, 450, 1000
656, 531, 1333, 467, 1000
130, 608, 814, 1494, 1000
75, 4613, 884, 869, 1000
50, 374, 1820, 456, 1000
1003, 669, 448, 780, 1000
653, 940, 1149, 747, 1000
718, 764, 725, 235, 1000
36, 142, 1566, 1281, 1000
2231, 156, 594, 2204, 1000
538, 751, 1931, 1437, 1000
44, 839, 539, 834, 1000
1639, 388, 1181, 756, 1000
1133, 66, 2553, 1052, 1000
275, 5226, 851, 1651, 1000
250, 619, 2001, 656, 1000
369, 1952, 752, 1133, 1000
527, 1745, 375, 1635, 1000
228, 564, 1183, 921, 1000
36, 839, 1848, 584, 1000
517, 459, 947, 553, 1000
260, 919, 2729, 1541, 1000
187, 887, 541, 1282, 1000
874, 2303, 732, 1046, 1000
1053, 541, 1047, 450, 1000
891, 1229, 636, 437, 1000
462, 596, 1279, 871, 1000
1288, 876, 666, 1225, 1000
2200, 331, 872, 801, 1000
766, 1006, 229, 2381, 1000
663, 754, 495, 926, 1000
100, 2405, 895, 553, 1000
145, 221, 505, 928, 1000
2246, 1455, 1366, 960, 1000
2131, 1401, 2642, 610, 1000
827, 210, 1343, 1479, 1000
858, 819, 2814, 1430, 1000
2017, 177, 1147, 467, 1000
2119, 1194, 917, 1626, 1000
626, 531, 352, 392, 1000
99, 453, 1104, 999, 1000
1294, 821, 1340, 1065, 1000
1165, 492, 307, 503, 1000
740, 1802, 485, 1307, 1000
1335, 472, 301, 578, 1000
1097, 369, 3801, 1069, 1000
300, 138, 1518, 1174, 1000
1367, 1065, 1723, 585, 1000
339, 2148, 1497, 623, 1000
317, 40, 1440, 1281, 1000
2833, 2017, 488, 1330, 1000
1751, 1129, 1446, 742, 1000
386, 620, 1352, 311, 1000
267, 920, 1311, 611, 1000
